trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-129.85139187764318,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.98}",20,0,-119.9282735792287,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.97}",20,0,-76.44561110043173,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96}",25,0,-128.34620509761052,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.95}",20,0,-95.37143784572088,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.94}",20,11,-70.34430472504401,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,3,-92.2717226083943,"{0: 15, 1: 0, 2: 5, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-47.53120252787286,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-165.31898019334744,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-164.30034927772832,"{0: 7, 1: 4, 2: 5, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-142.9815229984618,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-84.00885248276464,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",25,0,-131.96597395499157,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,0,-242.1383678721955,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 5}",0
