trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.45928907511058,"{0: 10, 1: 9, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-85.40314935886853,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9607894391523232}",25,0,-232.40231717247056,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 5}",0
4,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-50.63208704942157,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,11,-60.860489254635446,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,1,-70.95008818582657,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-77.75890942931342,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,14,-3.7943478830074597,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-180.06121836275102,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-148.6450648721806,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-32.42395549763482,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8025187979624785}",25,0,-127.89195575825984,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,0,-122.78211591464219,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.7710515858035663}",20,0,-149.8248912837626,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,0,-107.43600972753518,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,0,-45.20159019198277,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.7261490370736909}",20,2,-64.02104688612614,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.7117703227626097}",25,0,-35.53847585774363,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.697676326071031}",20,0,-180.7081433132927,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.6838614092123558}",20,0,-41.03526966654899,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,0,-6.029018249853399,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,10,-80.59181008150608,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
23,False,"{'a': 0.5, 'e': 0.6440364210831414}",20,0,2.355315359861002,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.631283645506926}",20,11,-32.75436190022575,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
25,False,"{'a': 0.5, 'e': 0.6187833918061408}",20,5,-1.9917827797114152,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,0,-104.51875167819124,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.5945205479701944}",25,15,1.1788397512311553,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.5827482523739896}",25,0,-94.9688160452374,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,0,-3.6353077360917583,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.559898366565402}",25,15,13.950944295388215,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.5488116360940265}",25,17,-8.895461067172333,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.5379444375946745}",25,0,-144.11391402918306,"{0: 17, 1: 3, 2: 1, 3: 1, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.5272924240430485}",20,5,4.9716011150925565,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.5168513344916992}",30,14,-20.759839522654715,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.5066169923655895}",20,0,-3.3051642129409124,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.49658530379140947}",25,7,-53.944511396331905,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.4867522559599717}",30,16,-20.58849246359276,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
38,False,"{'a': 0.5, 'e': 0.4771139155210344}",20,15,1.5910393820179494,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.46766642700990924}",25,14,-2.80900459810396,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.4584060113052235}",20,13,12.146418269078179,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,4,-63.65069746370781,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.44043165450599925}",30,24,7.922435596374255,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.43171052342907973}",25,0,-82.19086101180457,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.4231620823177488}",25,10,18.27681801362387,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.4147829116815814}",20,9,17.354980588995506,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,11,2.791917484554302,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.39851904108451414}",20,0,19.95467686031279,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.3906278353585211}",20,13,-6.991422254174923,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.38289288597511206}",20,0,-1.9209437821012898,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.37531109885139957}",25,9,-50.20563826342817,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,7,18.979076617141267,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.3605949401730783}",20,2,-31.02972886454656,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
