trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-126.9783477536014,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-171.5921032354,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.4696017767108,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.7176267704542,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-191.1109770018049,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.16992108377673,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.09082418966221,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-164.9164427933301,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-158.33785521759333,"{0: 16, 1: 4, 2: 8, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-224.57300030223485,"{0: 13, 1: 0, 2: 8, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.2950436963581,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-251.05927658704354,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 5}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,7,-71.36764968861465,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-171.87776963063249,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-164.06666348577264,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-184.92241203775362,"{0: 16, 1: 5, 2: 5, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-167.10239573943343,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.92016238136364,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.23468864630345,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.63046775969272,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-245.64195537023784,"{0: 4, 1: 6, 2: 6, 3: 0, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-116.37708607133214,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-170.6784127478534,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,13,-119.092680923803,"{0: 5, 1: 2, 2: 2, 3: 1, 4: 2}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.17897489725921,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-184.33982472162583,"{0: 11, 1: 0, 2: 12, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-53.325603274976665,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-90.69991387533666,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-121.54906021007781,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,6,-41.552113842596555,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 0}",1
