trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.97284717306674,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.03539331007946,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.10055232170379,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.42760600453028,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.388652868838,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.79325527293636,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.88173463005276,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.73829431314357,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.64724022607311,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.735658679991264,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.16731441179702,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-237.85458676924887,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,2,-50.67805344909523,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.2477260301326,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.51158292362146,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.7656667720013,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-166.48442381706468,"{0: 15, 1: 3, 2: 9, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.27843653191977,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.29426109188347,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.79025862827353,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-142.87655278421613,"{0: 11, 1: 5, 2: 1, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-127.67444668348601,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-154.29537901131727,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-5.066428299161294,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.34405367701146,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-122.03002704663372,"{0: 19, 1: 0, 2: 10, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-145.6315979554492,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-124.86887268102342,"{0: 13, 1: 4, 2: 0, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-97.88476244150684,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-115.20371261796485,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
